1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,
1,8,9,11,1,1,2,1,1,1,8,9,11,1,1,
6,3,4,3,11,1,1,1,1,6,3,4,3,11,1,
6,4,5,3,1,1,1,1,1,6,4,5,3,1,1,
7,12,1,12,1,2,1,1,1,7,12,1,12,1,1,
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,
1,8,9,11,1,1,1,1,1,1,8,9,11,1,1,
6,3,4,3,11,1,1,1,1,6,3,4,3,11,1,
6,4,5,3,1,1,1,1,1,6,4,5,3,1,1,
7,12,1,12,1,1,1,1,1,7,12,1,12,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,8,9,11,1,1,1,1,1,1,8,9,11,1,1,
6,3,4,3,11,1,1,1,1,6,3,4,3,11,1,
6,4,5,3,1,1,1,1,1,6,4,5,3,1,1,
7,12,1,12,1,1,1,1,1,7,12,1,12,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,13,14,15,16,17,18,19,20,1,1,1,1,
